visit_date,air_store_id,visitors,air_res_visitors,air_genre_name,air_area_name,latitude,longitude,day_of_week,holiday_flg,hpg_store_id,hpg_res_visitors,tot_Res
2016-01-05,air_2cee51fa6fdf6c0d,2,2,Western food,Tokyo-to Shibuya-ku Shibuya,35.6617773,139.7040506,Tuesday,0,hpg_113fd6e4fa77800f,2,4
2016-01-05,air_638c35eb25e53eea,3,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Tuesday,0,hpg_f07ec7b288165b27,2,2
2016-01-05,air_63b13c56b7201bd9,37,0,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5869938,130.3948938,Tuesday,0,hpg_4bc649e72e2a239a,3,3
2016-01-05,air_f690c42545146e0a,14,2,Japanese food,Hokkaido Sapporo-shi Minami 3 Jonishi,43.0568187,141.3539573,Tuesday,0,hpg_0dc016db530f5c33,2,4
2016-01-05,air_f96765e800907c77,65,0,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Tuesday,0,hpg_265bd3fe806f8b6e,2,2
2016-01-06,air_3e6cea17a9d2c0f1,24,0,Izakaya,Hyogo-ken Kakogawa-shi Kakogawacho Kitazaike,34.7569503,134.8411775,Wednesday,0,hpg_47c5b2b16a840e89,8,8
2016-01-06,air_a38f25e3399d1b25,25,0,Izakaya,Tokyo-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,Wednesday,0,hpg_50378da9ffb9b6cd,3,3
2016-01-06,air_db80363d35f10926,4,5,Dining bar,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Wednesday,0,hpg_878cc70b1abc76f7,3,8
2016-01-06,air_de88770300008624,6,0,Izakaya,Niigata-ken Niigata-shi Gakkochodori 1 Bancho,37.9163674,139.0363265,Wednesday,0,hpg_a786d63904735f58,2,2
2016-01-06,air_ef789667e2e6fe96,9,0,Dining bar,Tokyo-to Machida-shi Morino,35.546631,139.4386186,Wednesday,0,hpg_f76ad2d2d0134bdd,2,2
2016-01-07,air_54d6c25d33f5260e,28,0,Izakaya,Fukuoka-ken Fukuoka-shi Shiobaru,33.5615691,130.4264283,Thursday,0,hpg_62b71ee3f3c120c4,3,3
2016-01-07,air_7cc17a324ae5c7dc,7,0,Italian/French,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Thursday,0,hpg_9b38b9e13da6da27,4,4
2016-01-08,air_32460819c7600037,35,10,Dining bar,Osaka-fu Osaka-shi Shinmachi,34.6762311,135.4860587,Friday,0,hpg_ac318be70910278f,8,18
2016-01-08,air_5e70fe82f9e4fab6,15,4,Yakiniku/Korean food,Osaka-fu Osaka-shi Kyutaromachi,34.6812614,135.5098009,Friday,0,hpg_0a8cb1f2f6e27889,4,8
2016-01-08,air_7cc17a324ae5c7dc,8,0,Italian/French,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Friday,0,hpg_9b38b9e13da6da27,5,5
2016-01-08,air_968d72c12eed09f0,27,0,Italian/French,Tokyo-to Minato-ku Akasaka,35.6749184,139.736775,Friday,0,hpg_4dabe28f13a5b993,4,4
2016-01-08,air_c73d319ffabf287a,24,20,Yakiniku/Korean food,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Friday,0,hpg_e8f879fcbf993278,2,22
2016-01-08,air_cb7467aed805e7fe,31,0,Izakaya,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Friday,0,hpg_aa7dfdc68a0a879c,2,2
2016-01-08,air_e270aff84ac7e4c8,16,0,Okonomiyaki/Monja/Teppanyaki,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Friday,0,hpg_8d472b917afb2cd9,3,3
2016-01-08,air_ef789667e2e6fe96,38,0,Dining bar,Tokyo-to Machida-shi Morino,35.546631,139.4386186,Friday,0,hpg_f76ad2d2d0134bdd,6,6
2016-01-08,air_f96765e800907c77,39,8,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Friday,0,hpg_265bd3fe806f8b6e,8,16
2016-01-09,air_37189c92b6c761ec,45,0,Bar/Cocktail,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Saturday,0,hpg_2e10e1956528199a,25,25
2016-01-09,air_3e6cea17a9d2c0f1,30,0,Izakaya,Hyogo-ken Kakogawa-shi Kakogawacho Kitazaike,34.7569503,134.8411775,Saturday,0,hpg_47c5b2b16a840e89,2,2
2016-01-09,air_54d6c25d33f5260e,35,0,Izakaya,Fukuoka-ken Fukuoka-shi Shiobaru,33.5615691,130.4264283,Saturday,0,hpg_62b71ee3f3c120c4,3,3
2016-01-09,air_54ed43163b7596c4,5,5,Izakaya,Tokyo-to Chuo-ku Tsukiji,35.6706505,139.7718614,Saturday,0,hpg_583dddac1a035048,5,10
2016-01-09,air_638c35eb25e53eea,29,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Saturday,0,hpg_f07ec7b288165b27,2,2
2016-01-09,air_63b13c56b7201bd9,38,0,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5869938,130.3948938,Saturday,0,hpg_4bc649e72e2a239a,6,6
2016-01-09,air_6b15edd1b4fbb96a,47,8,Italian/French,Shizuoka-ken Hamamatsu-shi Motoshirocho,34.7108955,137.7259397,Saturday,0,hpg_babe2c3d962d7bb6,4,12
2016-01-09,air_9241121af22ff1d6,56,0,Izakaya,Tokyo-to Katsushika-ku Tateishi,35.7435748,139.8471797,Saturday,0,hpg_49dbe1fd79450e55,2,2
2016-01-09,air_968d72c12eed09f0,31,0,Italian/French,Tokyo-to Minato-ku Akasaka,35.6749184,139.736775,Saturday,0,hpg_4dabe28f13a5b993,2,2
2016-01-09,air_b9e27558fb8bd5c4,5,14,Izakaya,Tokyo-to Shibuya-ku Shibuya,35.6617773,139.7040506,Saturday,0,hpg_43a5666d1b6fa70b,2,16
2016-01-09,air_de88770300008624,70,0,Izakaya,Niigata-ken Niigata-shi Gakkochodori 1 Bancho,37.9163674,139.0363265,Saturday,0,hpg_a786d63904735f58,3,3
2016-01-09,air_f96765e800907c77,30,4,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Saturday,0,hpg_265bd3fe806f8b6e,8,12
2016-01-09,air_fe22ef5a9cbef123,39,12,Dining bar,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Saturday,0,hpg_ee8cad9cd96718da,8,20
2016-01-10,air_1f1390a8be2272b3,16,0,Japanese food,Tokyo-to Shinjuku-ku Kabukicho,35.6938401,139.7035494,Sunday,0,hpg_306ff4d17f7a1efd,2,2
2016-01-10,air_37189c92b6c761ec,2,0,Bar/Cocktail,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Sunday,0,hpg_2e10e1956528199a,6,6
2016-01-10,air_3e6cea17a9d2c0f1,30,0,Izakaya,Hyogo-ken Kakogawa-shi Kakogawacho Kitazaike,34.7569503,134.8411775,Sunday,0,hpg_47c5b2b16a840e89,4,4
2016-01-10,air_54d6c25d33f5260e,18,0,Izakaya,Fukuoka-ken Fukuoka-shi Shiobaru,33.5615691,130.4264283,Sunday,0,hpg_62b71ee3f3c120c4,2,2
2016-01-10,air_683371d9baabf410,42,0,Japanese food,Hyogo-ken Himeji-shi Yasuda,34.815149,134.6853528,Sunday,0,hpg_7dae95f9d3db1734,20,20
2016-01-10,air_6c91a28278a16f64,27,3,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Sunday,0,hpg_945c2807cef88022,6,9
2016-01-10,air_789466e488705c93,34,8,Izakaya,Fukuoka-ken Kurume-shi Jonanmachi,33.3192865,130.5083735,Sunday,0,hpg_4ca41b70c41bc844,4,12
2016-01-10,air_7cc17a324ae5c7dc,26,0,Italian/French,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Sunday,0,hpg_9b38b9e13da6da27,1,1
2016-01-10,air_9241121af22ff1d6,45,0,Izakaya,Tokyo-to Katsushika-ku Tateishi,35.7435748,139.8471797,Sunday,0,hpg_49dbe1fd79450e55,10,10
2016-01-10,air_97159fc4e90053fe,25,0,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Sunday,0,hpg_dc52241f21eb95f6,6,6
2016-01-10,air_c225148c0fcc5c72,39,0,Cafe/Sweets,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Sunday,0,hpg_ee424bb170e133f1,4,4
2016-01-10,air_fe22ef5a9cbef123,37,0,Dining bar,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Sunday,0,hpg_ee8cad9cd96718da,13,13
2016-01-11,air_1f1390a8be2272b3,13,0,Japanese food,Tokyo-to Shinjuku-ku Kabukicho,35.6938401,139.7035494,Monday,1,hpg_306ff4d17f7a1efd,4,4
2016-01-11,air_63b13c56b7201bd9,39,0,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5869938,130.3948938,Monday,1,hpg_4bc649e72e2a239a,3,3
2016-01-11,air_6b15edd1b4fbb96a,25,2,Italian/French,Shizuoka-ken Hamamatsu-shi Motoshirocho,34.7108955,137.7259397,Monday,1,hpg_babe2c3d962d7bb6,2,4
2016-01-11,air_7cc17a324ae5c7dc,32,0,Italian/French,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Monday,1,hpg_9b38b9e13da6da27,22,22
2016-01-11,air_db80363d35f10926,25,2,Dining bar,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Monday,1,hpg_878cc70b1abc76f7,2,4
2016-01-11,air_ef789667e2e6fe96,57,0,Dining bar,Tokyo-to Machida-shi Morino,35.546631,139.4386186,Monday,1,hpg_f76ad2d2d0134bdd,2,2
2016-01-12,air_3e6cea17a9d2c0f1,10,0,Izakaya,Hyogo-ken Kakogawa-shi Kakogawacho Kitazaike,34.7569503,134.8411775,Tuesday,0,hpg_47c5b2b16a840e89,7,7
2016-01-12,air_638c35eb25e53eea,15,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Tuesday,0,hpg_f07ec7b288165b27,3,3
2016-01-12,air_6b15edd1b4fbb96a,27,4,Italian/French,Shizuoka-ken Hamamatsu-shi Motoshirocho,34.7108955,137.7259397,Tuesday,0,hpg_babe2c3d962d7bb6,2,6
2016-01-12,air_7cc17a324ae5c7dc,7,0,Italian/French,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Tuesday,0,hpg_9b38b9e13da6da27,8,8
2016-01-12,air_8093d0b565e9dbdf,35,20,Yakiniku/Korean food,Tokyo-to Chuo-ku Ginza,35.6721142,139.7708253,Tuesday,0,hpg_874415e6e7ccfe13,2,22
2016-01-12,air_db80363d35f10926,16,3,Dining bar,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Tuesday,0,hpg_878cc70b1abc76f7,3,6
2016-01-12,air_f96765e800907c77,68,0,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Tuesday,0,hpg_265bd3fe806f8b6e,2,2
2016-01-13,air_32460819c7600037,33,17,Dining bar,Osaka-fu Osaka-shi Shinmachi,34.6762311,135.4860587,Wednesday,0,hpg_ac318be70910278f,7,24
2016-01-13,air_96743eee94114261,24,14,Japanese food,Niigata-ken Niigata-shi Gakkochodori 1 Bancho,37.9163674,139.0363265,Wednesday,0,hpg_a9d42bc9b56916f4,4,18
2016-01-13,air_968d72c12eed09f0,23,0,Italian/French,Tokyo-to Minato-ku Akasaka,35.6749184,139.736775,Wednesday,0,hpg_4dabe28f13a5b993,3,3
2016-01-13,air_d00161e19f08290b,58,0,Dining bar,Tokyo-to Shinjuku-ku Kabukicho,35.6938401,139.7035494,Wednesday,0,hpg_05fada27f04e4383,2,2
2016-01-14,air_54d6c25d33f5260e,51,0,Izakaya,Fukuoka-ken Fukuoka-shi Shiobaru,33.5615691,130.4264283,Thursday,0,hpg_62b71ee3f3c120c4,4,4
2016-01-14,air_63b13c56b7201bd9,25,0,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5869938,130.3948938,Thursday,0,hpg_4bc649e72e2a239a,2,2
2016-01-14,air_ba495cccc8f0f237,10,0,Bar/Cocktail,Tokyo-to Chuo-ku Ginza,35.6721142,139.7708253,Thursday,0,hpg_eaa312b3100ae94b,1,1
2016-01-14,air_c6a164dd4060e960,3,0,Dining bar,Osaka-fu Osaka-shi Ogimachi,34.7053617,135.5100252,Thursday,0,hpg_8ce73856596a7794,3,3
2016-01-15,air_290e7a57b390f78e,17,13,Italian/French,Tokyo-to Minato-ku Shibakoen,35.6580681,139.7515992,Friday,0,hpg_c5ec63f52e4a7e9e,3,16
2016-01-15,air_2aab19554f91ff82,32,0,Yakiniku/Korean food,Tokyo-to Chuo-ku Ginza,35.6721142,139.7708253,Friday,0,hpg_cac091abfcee2a85,4,4
2016-01-15,air_37189c92b6c761ec,5,0,Bar/Cocktail,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Friday,0,hpg_2e10e1956528199a,3,3
2016-01-15,air_3e6cea17a9d2c0f1,21,0,Izakaya,Hyogo-ken Kakogawa-shi Kakogawacho Kitazaike,34.7569503,134.8411775,Friday,0,hpg_47c5b2b16a840e89,9,9
2016-01-15,air_54ed43163b7596c4,22,10,Izakaya,Tokyo-to Chuo-ku Tsukiji,35.6706505,139.7718614,Friday,0,hpg_583dddac1a035048,8,18
2016-01-15,air_622375b4815cf5cb,69,0,Izakaya,Fukuoka-ken Kitakyushu-shi None,33.8664649,130.7649232,Friday,0,hpg_ab64d4038f396dc3,37,37
2016-01-15,air_638c35eb25e53eea,20,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Friday,0,hpg_f07ec7b288165b27,2,2
2016-01-15,air_63b13c56b7201bd9,29,0,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5869938,130.3948938,Friday,0,hpg_4bc649e72e2a239a,3,3
2016-01-15,air_6b15edd1b4fbb96a,49,10,Italian/French,Shizuoka-ken Hamamatsu-shi Motoshirocho,34.7108955,137.7259397,Friday,0,hpg_babe2c3d962d7bb6,5,15
2016-01-15,air_8093d0b565e9dbdf,53,33,Yakiniku/Korean food,Tokyo-to Chuo-ku Ginza,35.6721142,139.7708253,Friday,0,hpg_874415e6e7ccfe13,2,35
2016-01-15,air_97159fc4e90053fe,28,0,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Friday,0,hpg_dc52241f21eb95f6,8,8
2016-01-15,air_b9e27558fb8bd5c4,19,12,Izakaya,Tokyo-to Shibuya-ku Shibuya,35.6617773,139.7040506,Friday,0,hpg_43a5666d1b6fa70b,2,14
2016-01-15,air_c6a164dd4060e960,38,0,Dining bar,Osaka-fu Osaka-shi Ogimachi,34.7053617,135.5100252,Friday,0,hpg_8ce73856596a7794,4,4
2016-01-15,air_c73d319ffabf287a,17,2,Yakiniku/Korean food,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Friday,0,hpg_e8f879fcbf993278,6,8
2016-01-15,air_db80363d35f10926,27,24,Dining bar,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Friday,0,hpg_878cc70b1abc76f7,9,33
2016-01-15,air_ef789667e2e6fe96,47,0,Dining bar,Tokyo-to Machida-shi Morino,35.546631,139.4386186,Friday,0,hpg_f76ad2d2d0134bdd,2,2
2016-01-15,air_f96765e800907c77,78,4,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Friday,0,hpg_265bd3fe806f8b6e,4,8
2016-01-16,air_4570f52104fe0982,33,0,Izakaya,Tokyo-to Koto-ku Kameido,35.6995366,139.8265727,Saturday,0,hpg_806d24a6468f6709,9,9
2016-01-16,air_622375b4815cf5cb,45,22,Izakaya,Fukuoka-ken Kitakyushu-shi None,33.8664649,130.7649232,Saturday,0,hpg_ab64d4038f396dc3,7,29
2016-01-16,air_638c35eb25e53eea,35,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Saturday,0,hpg_f07ec7b288165b27,2,2
2016-01-16,air_63b13c56b7201bd9,38,0,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5869938,130.3948938,Saturday,0,hpg_4bc649e72e2a239a,5,5
2016-01-16,air_683371d9baabf410,55,0,Japanese food,Hyogo-ken Himeji-shi Yasuda,34.815149,134.6853528,Saturday,0,hpg_7dae95f9d3db1734,5,5
2016-01-16,air_6e3fd96320d24324,27,0,Izakaya,Hiroshima-ken Fukuyama-shi Higashisakuramachi,34.4858993,133.3623127,Saturday,0,hpg_3f89e343b3e1d336,4,4
2016-01-16,air_707d4b6328f2c2df,29,0,Dining bar,Tokyo-to Shibuya-ku Shibuya,35.6617773,139.7040506,Saturday,0,hpg_7acec6bb6ec9d98e,28,28
2016-01-16,air_789466e488705c93,50,44,Izakaya,Fukuoka-ken Kurume-shi Jonanmachi,33.3192865,130.5083735,Saturday,0,hpg_4ca41b70c41bc844,10,54
2016-01-16,air_7cc17a324ae5c7dc,31,0,Italian/French,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Saturday,0,hpg_9b38b9e13da6da27,22,22
2016-01-16,air_97159fc4e90053fe,28,0,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Saturday,0,hpg_dc52241f21eb95f6,5,5
2016-01-16,air_cb7467aed805e7fe,51,0,Izakaya,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Saturday,0,hpg_aa7dfdc68a0a879c,2,2
2016-01-16,air_db80363d35f10926,47,23,Dining bar,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Saturday,0,hpg_878cc70b1abc76f7,3,26
2016-01-16,air_de88770300008624,42,0,Izakaya,Niigata-ken Niigata-shi Gakkochodori 1 Bancho,37.9163674,139.0363265,Saturday,0,hpg_a786d63904735f58,8,8
2016-01-16,air_e270aff84ac7e4c8,30,0,Okonomiyaki/Monja/Teppanyaki,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Saturday,0,hpg_8d472b917afb2cd9,2,2
2016-01-16,air_ef789667e2e6fe96,39,0,Dining bar,Tokyo-to Machida-shi Morino,35.546631,139.4386186,Saturday,0,hpg_f76ad2d2d0134bdd,2,2
2016-01-16,air_f96765e800907c77,19,0,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Saturday,0,hpg_265bd3fe806f8b6e,5,5
2016-01-17,air_1f1390a8be2272b3,5,0,Japanese food,Tokyo-to Shinjuku-ku Kabukicho,35.6938401,139.7035494,Sunday,0,hpg_306ff4d17f7a1efd,7,7
2016-01-17,air_54d6c25d33f5260e,23,0,Izakaya,Fukuoka-ken Fukuoka-shi Shiobaru,33.5615691,130.4264283,Sunday,0,hpg_62b71ee3f3c120c4,7,7
2016-01-17,air_63b13c56b7201bd9,33,0,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5869938,130.3948938,Sunday,0,hpg_4bc649e72e2a239a,7,7
2016-01-17,air_6c91a28278a16f64,23,10,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Sunday,0,hpg_945c2807cef88022,3,13
2016-01-17,air_7cc17a324ae5c7dc,17,0,Italian/French,Hyogo-ken Kobe-shi Kumoidori,34.6951242,135.1978525,Sunday,0,hpg_9b38b9e13da6da27,1,1
2016-01-17,air_ba495cccc8f0f237,16,0,Bar/Cocktail,Tokyo-to Chuo-ku Ginza,35.6721142,139.7708253,Sunday,0,hpg_eaa312b3100ae94b,2,2
2016-01-17,air_de88770300008624,22,0,Izakaya,Niigata-ken Niigata-shi Gakkochodori 1 Bancho,37.9163674,139.0363265,Sunday,0,hpg_a786d63904735f58,6,6
2016-01-18,air_290e7a57b390f78e,6,6,Italian/French,Tokyo-to Minato-ku Shibakoen,35.6580681,139.7515992,Monday,0,hpg_c5ec63f52e4a7e9e,6,12
2016-01-18,air_2aab19554f91ff82,3,0,Yakiniku/Korean food,Tokyo-to Chuo-ku Ginza,35.6721142,139.7708253,Monday,0,hpg_cac091abfcee2a85,3,3
2016-01-18,air_638c35eb25e53eea,8,0,Italian/French,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Monday,0,hpg_f07ec7b288165b27,4,4
2016-01-18,air_63b13c56b7201bd9,19,0,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5869938,130.3948938,Monday,0,hpg_4bc649e72e2a239a,8,8
2016-01-18,air_a38f25e3399d1b25,17,0,Izakaya,Tokyo-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,Monday,0,hpg_50378da9ffb9b6cd,11,11
2016-01-18,air_c6a164dd4060e960,6,0,Dining bar,Osaka-fu Osaka-shi Ogimachi,34.7053617,135.5100252,Monday,0,hpg_8ce73856596a7794,2,2
2016-01-18,air_db80363d35f10926,2,2,Dining bar,Hokkaido Asahikawa-shi 6 Jodori,43.7706355,142.364819,Monday,0,hpg_878cc70b1abc76f7,2,4
2016-01-19,air_2cee51fa6fdf6c0d,7,2,Western food,Tokyo-to Shibuya-ku Shibuya,35.6617773,139.7040506,Tuesday,0,hpg_113fd6e4fa77800f,4,6
2016-01-19,air_4cca5666eaf5c709,29,9,Izakaya,Tokyo-to Koto-ku Kameido,35.6995366,139.8265727,Tuesday,0,hpg_f83413cde79ac5e7,4,13
2016-01-19,air_97159fc4e90053fe,16,0,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Tuesday,0,hpg_dc52241f21eb95f6,6,6
2016-01-19,air_de88770300008624,7,0,Izakaya,Niigata-ken Niigata-shi Gakkochodori 1 Bancho,37.9163674,139.0363265,Tuesday,0,hpg_a786d63904735f58,5,5
2016-01-20,air_290e7a57b390f78e,2,19,Italian/French,Tokyo-to Minato-ku Shibakoen,35.6580681,139.7515992,Wednesday,0,hpg_c5ec63f52e4a7e9e,3,22
2016-01-20,air_32460819c7600037,36,6,Dining bar,Osaka-fu Osaka-shi Shinmachi,34.6762311,135.4860587,Wednesday,0,hpg_ac318be70910278f,2,8
2016-01-20,air_622375b4815cf5cb,15,3,Izakaya,Fukuoka-ken Kitakyushu-shi None,33.8664649,130.7649232,Wednesday,0,hpg_ab64d4038f396dc3,3,6
2016-01-20,air_6b15edd1b4fbb96a,20,7,Italian/French,Shizuoka-ken Hamamatsu-shi Motoshirocho,34.7108955,137.7259397,Wednesday,0,hpg_babe2c3d962d7bb6,7,14
2016-01-20,air_6c91a28278a16f64,11,2,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Wednesday,0,hpg_945c2807cef88022,2,4
2016-01-20,air_707d4b6328f2c2df,20,0,Dining bar,Tokyo-to Shibuya-ku Shibuya,35.6617773,139.7040506,Wednesday,0,hpg_7acec6bb6ec9d98e,2,2
2016-01-20,air_ef789667e2e6fe96,32,0,Dining bar,Tokyo-to Machida-shi Morino,35.546631,139.4386186,Wednesday,0,hpg_f76ad2d2d0134bdd,5,5
2016-01-20,air_f96765e800907c77,30,0,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,34.3862445,132.4550176,Wednesday,0,hpg_265bd3fe806f8b6e,1,1
2016-01-21,air_290e7a57b390f78e,35,16,Italian/French,Tokyo-to Minato-ku Shibakoen,35.6580681,139.7515992,Thursday,0,hpg_c5ec63f52e4a7e9e,9,25
2016-01-21,air_2cee51fa6fdf6c0d,13,9,Western food,Tokyo-to Shibuya-ku Shibuya,35.6617773,139.7040506,Thursday,0,hpg_113fd6e4fa77800f,2,11
2016-01-21,air_32460819c7600037,30,5,Dining bar,Osaka-fu Osaka-shi Shinmachi,34.6762311,135.4860587,Thursday,0,hpg_ac318be70910278f,5,10
2016-01-21,air_54ed43163b7596c4,17,17,Izakaya,Tokyo-to Chuo-ku Tsukiji,35.6706505,139.7718614,Thursday,0,hpg_583dddac1a035048,13,30
2016-01-21,air_63b13c56b7201bd9,15,0,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5869938,130.3948938,Thursday,0,hpg_4bc649e72e2a239a,4,4
2016-01-21,air_640cf4835f0d9ba3,16,0,Izakaya,Tokyo-to Ota-ku Kamata,35.5612568,139.7160511,Thursday,0,hpg_e63863c8987bd064,5,5
2016-01-21,air_6c91a28278a16f64,22,2,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyo,33.5892157,130.3928134,Thursday,0,hpg_945c2807cef88022,2,4
2016-01-21,air_c6a164dd4060e960,6,0,Dining bar,Osaka-fu Osaka-shi Ogimachi,34.7053617,135.5100252,Thursday,0,hpg_8ce73856596a7794,4,4
2016-01-22,air_2aab19554f91ff82,31,2,Yakiniku/Korean food,Tokyo-to Chuo-ku Ginza,35.6721142,139.7708253,Friday,0,hpg_cac091abfcee2a85,2,4
